iso3,location,variable,age,sex,y2024,y2025,y2026,y2027,y2028,y2029,y2030,y2031,y2032,y2033,y2034,y2035,y2036,y2037,y2038,y2039,y2040,y2041,y2042,y2043,y2044,y2045,y2046,y2047,y2048,y2049,y2050,y2051,y2052,y2053,y2054,y2055,y2056,y2057,y2058,y2059,y2060,y2061,y2062,y2063,y2064,y2065,y2066,y2067,y2068,y2069,y2070,y2071,y2072,y2073,y2074,y2075,y2076,y2077,y2078,y2079,y2080,y2081,y2082,y2083,y2084,y2085,y2086,y2087,y2088,y2089,y2090,y2091,y2092,y2093,y2094,y2095,y2096,y2097,y2098,y2099,y2100,y2101
MEX,Mexico,population,32,male,1008.43,1012.72,1015.101,1027.446,1034.213,1026.298,1023.78,1032.002,1043.582,1068.887,1074.863,1079.947,1076.341,1075.307,1072.748,1070.456,1070.4,1073.428,1077.884,1082.356,1086.068,1088.496,1087.037,1066.8,1036.765,1016.773,999.956,1000.364,1001.352,991.461,985.947,974.527,962.662,955.619,946.8869999999999,940.895,934.0119999999999,928.2380000000001,923.4690000000001,918.0890000000001,913.83,909.292,904.112,899.115,894.053,888.417,883.321,877.6609999999999,870.802,863.3579999999999,855.354,847.4,839.635,833.143,825.62,817.976,809.811,803.199,796.158,789.405,782.65,775.652,769.559,763.353,757.957,751.89,746.473,741.197,736.37,730.038,724.372,719.797,714.9,709.086,703.941,697.984,692.995,687.91
MEX,Mexico,population,33,male,994.466,1004.108,1008.394,1010.796,1023.178,1029.988,1022.13,1019.686,1027.93,1039.549,1064.859,1070.8,1075.972,1072.387,1071.465,1068.936,1066.653,1066.68,1069.818,1074.331,1078.822,1082.621,1085.063,1083.662,1063.507,1033.653,1013.644,996.957,997.394,998.4400000000001,988.597,983.1420000000001,971.778,959.986,953.021,944.381,938.41,931.543,925.86,921.112,915.774,911.547,907.021,901.915,896.973,891.929,886.35,881.242,875.679,868.823,861.388,853.452,845.552,837.833,831.373,823.884,816.25,808.129,801.524,794.5940000000001,787.835,781.097,774.096,768.061,761.9160000000001,756.572,750.496,745.0940000000001,739.807,735.052,728.678,723.0650000000001,718.523,713.671,707.861,702.75,696.811,691.8390000000001
MEX,Mexico,population,34,male,969.2140000000001,990.221,999.845,1004.147,1006.614,1019.021,1025.848,1018.079,1015.688,1023.977,1035.635,1060.863,1066.885,1072.06,1068.589,1067.697,1065.184,1062.987,1063.125,1066.322,1070.857,1075.429,1079.242,1081.734,1080.378,1060.38,1030.541,1010.666,994.043,994.537,995.614,985.837,980.43,969.139,957.431,950.553,941.9400000000001,935.9880000000001,929.21,923.552,918.845,913.542,909.33,904.874,899.821,894.9,889.9109999999999,884.325,879.309,873.75,866.905,859.534,851.651,843.796,836.11,829.683,822.206,814.615,806.505,800.004,793.071,786.33,779.591,772.647,766.67,760.575,755.224,749.165,743.755,738.5359999999999,733.7430000000001,727.419,721.8390000000001,717.3390000000001,712.492,706.715,701.621,695.7
MEX,Mexico,population,35,male,939.7089999999999,965.052,986.0069999999999,995.633,999.9930000000001,1002.515,1014.921,1021.794,1014.096,1011.779,1020.115,1031.733,1056.985,1063.011,1068.273,1064.842,1063.966,1061.539,1059.455,1059.659,1062.882,1067.495,1072.083,1075.943,1078.473,1077.231,1057.24,1027.554,1007.753,991.22,991.747,992.871,983.152,977.807,966.599,954.984,948.133,939.547,933.679,926.931,921.316,916.645,911.361,907.216,902.811,897.782,892.914,887.922,882.424,877.415,871.8680000000001,865.085,857.765,849.927,842.106,834.454,828.0410000000001,820.606,813.028,805.016,798.515,791.602,784.862,778.178,771.29,765.36,759.2619999999999,753.928,747.865,742.519,737.268,732.521,726.23,720.691,716.197,711.381,705.623,700.546
MEX,Mexico,population,36,male,923.668,935.622,960.899,981.8200000000001,991.485,995.893,998.447,1010.882,1017.783,1010.175,1007.936,1016.245,1027.92,1053.125,1059.232,1064.515,1061.112,1060.318,1058,1055.988,1056.228,1059.531,1064.162,1068.795,1072.692,1075.323,1074.059,1054.201,1024.613,1004.911,988.446,989.022,990.1849999999999,980.5359999999999,975.264,964.147,952.571,945.748,937.249,931.412,924.71,919.134,914.484,909.266,905.172,900.793,895.816,890.949,886.04,880.553,875.558,870.0700000000001,863.336,856.0599999999999,848.2569999999999,840.471,832.837,826.4640000000001,819.044,811.558,803.552,797.071,790.162,783.474,776.8440000000001,770.003,764.073,757.9930000000001,752.657,746.655,741.282,736.075,731.36,725.109,719.578,715.114,710.317,704.576
MEX,Mexico,population,37,male,902.224,919.5890000000001,931.524,956.751,977.67,987.367,991.804,994.4160000000001,1006.862,1013.81,1006.297,1004.068,1012.44,1024.109,1049.337,1055.465,1060.757,1057.442,1056.751,1054.507,1052.54,1052.865,1056.192,1060.869,1065.538,1069.53,1072.137,1070.965,1051.191,1021.726,1002.103,985.722,986.3390000000001,987.553,977.985,972.792,961.718,950.181,943.441,934.98,929.189,922.529,916.978,912.3920000000001,907.227,903.1609999999999,898.832,893.86,889.073,884.178,878.708,873.77,868.329,861.639,854.399,846.631,838.865,831.273,824.9160000000001,817.5839999999999,810.105,802.122,795.648,788.79,782.155,775.569,768.731,762.821,756.742,751.4640000000001,745.4400000000001,740.11,734.9349999999999,730.256,724.016,718.515,714.0700000000001,709.29
MEX,Mexico,population,38,male,875.53,898.154,915.482,927.413,952.621,973.5309999999999,983.24,987.73,990.386,1002.86,1009.857,1002.378,1000.243,1008.622,1020.347,1045.543,1051.681,1057.038,1053.831,1053.211,1051.016,1049.138,1049.498,1052.875,1057.589,1062.348,1066.32,1069.01,1067.885,1048.216,1018.856,999.326,983.023,983.693,984.967,975.487,970.329,959.298,947.852,941.149,932.74,926.992,920.3630000000001,914.877,910.343,905.2089999999999,901.193,896.873,891.979,887.208,882.332,876.919,872.027,866.629,859.974,852.77,845.025,837.301,829.728,823.455,816.133,808.679,800.706,794.2809999999999,787.474,780.883,774.304,767.487,761.58,755.558,750.261,744.28,738.98,733.842,729.174,722.965,717.4829999999999,713.056
MEX,Mexico,population,39,male,852.455,871.476,894.042,911.347,923.304,948.484,969.367,979.11,983.64,986.357,998.861,1005.852,998.4829999999999,996.39,1004.833,1016.567,1041.718,1047.918,1053.356,1050.229,1049.657,1047.552,1045.718,1046.137,1049.556,1054.357,1059.101,1063.151,1065.881,1064.823,1045.244,1016.003,996.562,980.347,981.079,982.419,972.986,967.864,956.922,945.526,938.875,930.516,924.8,918.237,912.805,908.304,903.223,899.218,894.972,890.098,885.349,880.528,875.162,870.312,864.95,858.332,851.152,843.45,835.748,828.256,821.994,814.698,807.2569999999999,799.3339999999999,792.9589999999999,786.196,779.614,773.056,766.247,760.394,754.3579999999999,749.103,743.152,737.89,732.764,728.125,721.936,716.474
MEX,Mexico,population,40,male,827.6079999999999,848.393,867.37,889.893,907.2,919.175,944.3099999999999,965.186,974.952,979.5359999999999,982.316,994.799,1001.852,994.548,992.552,1001.014,1012.746,1037.899,1044.176,1049.67,1046.601,1046.114,1044.058,1042.292,1042.762,1046.269,1051.06,1055.879,1059.967,1062.757,1061.75,1042.274,1013.147,993.806,977.6900000000001,978.4880000000001,979.857,970.472,965.429,954.54,943.206,936.604,928.285,922.633,916.128,910.7329999999999,906.284,901.2190000000001,897.287,893.064,888.2140000000001,883.52,878.746,873.423,868.609,863.283,856.691,849.554,841.876,834.254,826.777,820.542,813.261,805.869,797.998,791.665,784.913,778.355,771.807,765.051,759.189,753.194,747.9690000000001,742.055,736.807,731.71,727.092,720.923
MEX,Mexico,population,41,male,817.063,823.5410000000001,844.273,863.218,885.7190000000001,903.022,915.002,940.11,960.966,970.7670000000001,975.408,978.204,990.729,997.802,990.6130000000001,988.673,997.146,1008.919,1034.087,1040.417,1045.947,1042.971,1042.533,1040.547,1038.84,1039.405,1042.911,1047.776,1052.634,1056.779,1059.613,1058.667,1039.29,1010.29,991.058,975.046,975.876,977.274,967.977,962.979,952.154,940.881,934.3200000000001,926.0700000000001,920.476,914.0119999999999,908.672,904.241,899.25,895.343,891.146,886.351,881.704,876.974,871.689,866.912,861.612,855.063,847.953,840.351,832.747,825.302,819.082,811.85,804.508,796.681,790.3630000000001,783.636,777.09,770.5940000000001,763.833,758.011,752.048,746.859,740.961,735.742,730.667,726.069
MEX,Mexico,population,42,male,791.702,812.921,819.408,840.099,859.033,881.506,898.792,910.794,935.8630000000001,956.71,966.548,971.203,974.075,986.602,993.74,986.629,984.7380000000001,993.2619999999999,1005.089,1030.248,1036.614,1042.211,1039.295,1038.924,1037.001,1035.394,1035.972,1039.554,1044.46,1049.374,1053.561,1056.449,1055.562,1036.293,1007.43,988.311,972.373,973.237,974.7,965.46,960.5170000000001,949.755,938.5359999999999,932.042,923.856,918.305,911.898,906.581,902.223,897.2619999999999,893.383,889.239,884.4930000000001,879.891,875.199,869.953,865.205,859.947,853.426,846.389,838.8099999999999,831.2380000000001,823.813,817.641,810.4589999999999,803.1609999999999,795.352,789.059,782.348,775.852,769.355,762.635,756.846,750.919,745.747,739.88,734.683,729.629
MEX,Mexico,population,43,male,767.0839999999999,787.545,808.707,815.215,835.883,854.801,877.232,894.516,906.53,931.569,952.408,962.2430000000001,966.966,969.878,982.449,989.617,982.579,980.775,989.361,1001.222,1026.355,1032.785,1038.417,1035.579,1035.269,1033.446,1031.864,1032.527,1036.156,1041.118,1046.073,1050.313,1053.251,1052.43,1033.279,1004.558,985.526,969.664,970.593,972.0940000000001,962.921,958.0309999999999,947.326,936.1849999999999,929.753,921.6180000000001,916.123,909.746,904.503,900.177,895.248,891.423,887.328,882.628,878.066,873.414,868.199,863.4930000000001,858.264,851.8150000000001,844.802,837.2569999999999,829.708,822.332,816.2089999999999,809.071,801.793,794.014,787.739,781.078,774.585,768.128,761.442,755.689,749.782,744.64,738.797,733.623
MEX,Mexico,population,44,male,758.898,762.905,783.3099999999999,804.423,810.97,831.611,850.5,872.903,890.175,902.211,927.22,948.0119999999999,957.894,962.653,965.644,978.225,985.4160000000001,978.486,976.7809999999999,985.412,997.29,1022.421,1028.886,1034.571,1031.804,1031.59,1029.799,1028.309,1029.029,1032.718,1037.724,1042.731,1047.018,1050.014,1049.267,1030.239,1001.634,982.693,966.938,967.908,969.453,960.346,955.504,944.878,933.812,927.43,919.359,913.896,907.595,902.389,898.097,893.224,889.448,885.399,880.741,876.221,871.601,866.431,861.755,856.595,850.171,843.1950000000001,835.675,828.176,820.851,814.772,807.657,800.409,792.652,786.426,779.771,773.319,766.897,760.249,754.5170000000001,748.6420000000001,743.525,737.706
MEX,Mexico,population,45,male,747.126,754.609,758.64,778.996,800.077,806.6609999999999,827.261,846.134,868.499,885.7670000000001,897.826,922.769,943.559,953.458,958.288,961.329,973.912,981.159,974.348,972.727,981.3869999999999,993.307,1018.408,1024.923,1030.653,1027.99,1027.807,1026.111,1024.687,1025.478,1029.217,1034.274,1039.328,1043.671,1046.732,1046.061,1027.133,998.651,979.828,964.158,965.175,966.765,957.7190000000001,952.9450000000001,942.396,931.393,925.074,917.043,911.655,905.397,900.229,895.9930000000001,891.173,887.4450000000001,883.439,878.824,874.3390000000001,869.764,864.627,860.019,854.885,848.499,841.549,834.081,826.634,819.356,813.3,806.217,798.994,791.288,785.071,778.458,772.0410000000001,765.658,759.034,753.335,747.486,742.393
MEX,Mexico,population,46,male,734.186,742.732,750.222,754.287,774.609,795.652,802.263,822.835,841.683,864.016,881.2809999999999,893.33,918.247,939.006,948.953,953.828,956.9109999999999,969.528,976.8390000000001,970.135,968.5839999999999,977.296,989.2329999999999,1014.315,1020.873,1026.679,1024.062,1023.97,1022.343,1021.001,1021.852,1025.648,1030.753,1035.861,1040.266,1043.395,1042.778,1023.954,995.622,976.898,961.322,962.3869999999999,964.014,955.048,950.341,939.8579999999999,928.931,922.653,914.704,909.36,903.145,898.038,893.855,889.087,885.402,881.441,876.864,872.424,867.885,862.816,858.235,853.139,846.782,839.884,832.468,825.0700000000001,817.8200000000001,811.797,804.741,797.569,789.878,783.702,777.126,770.749,764.3920000000001,757.803,752.131,746.309
MEX,Mexico,population,47,male,719.752,729.68,738.228,745.7329999999999,749.848,770.131,791.125,797.775,818.3099999999999,837.139,859.441,876.671,888.749,913.612,934.3680000000001,944.338,949.251,952.408,965.0650000000001,972.427,965.818,964.36,973.103,985.067,1010.123,1016.753,1022.579,1020.063,1020.04,1018.498,1017.225,1018.145,1021.995,1027.156,1032.325,1036.795,1039.969,1039.41,1020.716,992.5170000000001,973.901,958.419,959.526,961.2089999999999,952.323,947.671,937.266,926.395,920.197,912.302,907.004,900.853,895.802,891.672,886.952,883.314,879.3920000000001,874.8630000000001,870.46,865.9880000000001,860.952,856.41,851.343,845.037,838.193,830.827,823.46,816.247,810.251,803.247,796.092,788.446,782.309,775.774,769.425,763.103,756.544,750.9
