age,sex,type,name,affiliates,contributors,iacc,oldage_num,oldage_ben,disa_num,disa_ben,survivor_num,survivor_ben
78,1,DC,Afores, -   ,0,0,"1,687","4,922",12,"14,014",29,"4,375"
79,1,DC,Afores, -   ,0,0,"1,659","4,885",12,"12,981",18,"4,338"
80,1,DC,Afores, -   ,0,0,"1,173","4,868",11,"12,459",21,"4,969"
81,1,DC,Afores,0,0,0,"1,105","4,876",11,"14,280",16,"4,499"
82,1,DC,Afores,0,0,0,871,"4,872",6,"14,532",14,"4,022"
83,1,DC,Afores,0,0,0,983,"4,866",6,"11,743",15,"4,346"
84,1,DC,Afores,0,0,0,848,"4,857",5,"17,752",12,"4,170"
85,1,DC,Afores,0,0,0,268,"4,865",3,"7,579",11,"4,074"
86,1,DC,Afores,0,0,0,198,"4,876",4,"11,271",9,"4,651"
87,1,DC,Afores,0,0,0,107,"4,834",3,"8,947",7,"3,803"
88,1,DC,Afores,0,0,0,101,"4,879",1,"12,417",9,"3,828"
89,1,DC,Afores,0,0,0,81,"4,913",1,"9,736",8,"4,397"
90,1,DC,Afores,0,0,0,26,"4,874",3,"11,713",6,"4,260"
91,1,DC,Afores,0,0,0,31,"4,886",2,"13,753",4,"3,760"
92,1,DC,Afores,0,0,0,16,"4,863",1,"7,768",3,"6,296"
93,1,DC,Afores,0,0,0,21,"4,884",1,"10,869",2,"3,608"
94,1,DC,Afores,0,0,0,0,0,1,"27,390",2,"3,656"
95,1,DC,Afores,0,0,0,3,"4,900",1,"7,388",5,"5,041"
96,1,DC,Afores,0,0,0,0,0,1,"7,615",2,"5,110"
97,1,DC,Afores,0,0,0,10,"4,856",0,"7,146",1,"4,749"
98,1,DC,Afores,0,0,0,0,0,0,"8,641",0,"4,533"
99,1,DC,Afores,0,0,0,0,0,0,"7,146",1,"3,783"
100,1,DC,Afores,0,0,0,0,0,0,"7,146",0,"7,385"
101,1,DC,Afores,0,0,0,0,0,0,"10,538",1,"3,668"
102,1,DC,Afores,0,0,0,0,0,0,"20,989",1,"5,440"
103,1,DC,Afores,0,0,0,0,0,0,"7,146",1,"3,608"
104,1,DC,Afores,0,0,0,0,0,0,0,1,"4,509"
105,1,DC,Afores,0,0,0,0,0,0,"7,930",0,"6,082"
106,1,DC,Afores,0,0,0,0,0,0,"14,155",0,"5,363"
107,1,DC,Afores,0,0,0,0,0,0,"7,930",0,"5,492"
108,1,DC,Afores,0,0,0,0,0,0,"7,146",0,"3,608"
109,1,DC,Afores,0,0,0,0,0,0,0,0,"3,608"
110,1,DC,Afores,0,0,0,0,0,0,0,0,0
0,2,DC,Afores,0,0,0,0,0,0,0,0,0
1,2,DC,Afores,0,0,0,0,0,0,0,0,0
2,2,DC,Afores,0,0,0,0,0,0,0,0,0
3,2,DC,Afores,0,0,0,0,0,0,0,0,0
4,2,DC,Afores,0,0,0,0,0,0,0,0,0
5,2,DC,Afores,0,0,0,0,0,0,0,0,0
6,2,DC,Afores,0,0,0,0,0,0,0,0,0
7,2,DC,Afores,0,0,0,0,0,0,0,0,0
8,2,DC,Afores,0,0,0,0,0,0,0,0,0
9,2,DC,Afores,0,0,0,0,0,0,0,0,0
10,2,DC,Afores,0,0,0,0,0,0,0,0,0
11,2,DC,Afores,0,0,0,0,0,0,0,0,0
12,2,DC,Afores,0,0,0,0,0,0,0,0,0
13,2,DC,Afores,0,0,0,0,0,0,0,0,0
14,2,DC,Afores,0,0, -   ,0,0,0,0,0,0
15,2,DC,Afores,0,0,0,0,0,0,0,0,0
16,2,DC,Afores,"39,702","27,791","5,674",0,0,0,0,0,0
17,2,DC,Afores,"79,471","55,630","5,674",0,0,0,0,0,0
18,2,DC,Afores,"119,240","83,468","5,674",0,0,0,0,0,0
19,2,DC,Afores,"277,284","166,371","8,682",0,0,0,0,1,"5,319"
20,2,DC,Afores,"352,807","183,460","11,789",0,0,1,"1,880",1,"4,926"
21,2,DC,Afores,"427,993","196,877","15,282",0,0,2,"3,835",6,"4,998"
22,2,DC,Afores,"476,200","214,290","18,032",0,0,3,"3,950",14,"5,003"
23,2,DC,Afores,"526,826","231,803","20,919",0,0,5,"4,401",28,"5,746"
24,2,DC,Afores,"602,975","259,279","23,219",0,0,5,"5,011",41,"5,515"
25,2,DC,Afores,"629,261","276,875","28,004",0,0,8,"4,427",72,"5,090"
