iso3,location,variable,age,sex,y1950,y1951,y1952,y1953,y1954,y1955,y1956,y1957,y1958,y1959,y1960,y1961,y1962,y1963,y1964,y1965,y1966,y1967,y1968,y1969,y1970,y1971,y1972,y1973,y1974,y1975,y1976,y1977,y1978,y1979,y1980,y1981,y1982,y1983,y1984,y1985,y1986,y1987,y1988,y1989,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023
MEX,Mexico,mortality,0,male,.0498879908635685,.0458017728216306,.041721476260207,.039286106308828,.0361326011010128,.0341417756633155,.0309774629506469,.0288470639963603,.0262032845515939,.0243091242112274,.0226564361360473,.0213314577238615,.0198698237986121,.0185639613883734,.0174151775410294,.0162794182727543,.0153333574193082,.0142039647360395,.0133684511759531,.0123612665895654,.0117422894365381,.0110740436363778,.010755574576378,.0103499847628871,.0101028302340109,.0095649575484759,.0088973240116373,.008308353880342,.0078210026733414,.007470252625502,.0070684596016184,.0067974907568653,.0066094068052879,.0061638241351146,.0057035751350964,.0053053316301886,.0050136748739675,.0046911781389149,.0043313867481931,.0039751144549775,.0037538900358626,.0036980675570616,.0035398199923988,.0033659523066274,.0031528245043772,.0029677481987003,.0027732119454638,.0025919222814357,.0024631218781562,.0023346404549822,.0022012233056248,.0020940196729226,.0019690065975719,.0018641743066673,.0017606367551209,.0016782554380281,.0015953917424456,.0015258284215487,.0014513674234698,.0013793850038151,.0013098758363204,.0012474037757418,.001191924000779,.0011454536194867,.0011097889763834,.0010567028109676,.0010076058844184,.0009581701666745,.000924583198633,.0008931766376549,.0008096861761584,.0008729877866193,.001012451830329,.0007560510301076
MEX,Mexico,mortality,1,male,.0498879908635685,.0458017728216306,.041721476260207,.039286106308828,.0361326011010128,.0341417756633155,.0309774629506469,.0288470639963603,.0262032845515939,.0243091242112274,.0226564361360473,.0213314577238615,.0198698237986121,.0185639613883734,.0174151775410294,.0162794182727543,.0153333574193082,.0142039647360395,.0133684511759531,.0123612665895654,.0117422894365381,.0110740436363778,.010755574576378,.0103499847628871,.0101028302340109,.0095649575484759,.0088973240116373,.008308353880342,.0078210026733414,.007470252625502,.0070684596016184,.0067974907568653,.0066094068052879,.0061638241351146,.0057035751350964,.0053053316301886,.0050136748739675,.0046911781389149,.0043313867481931,.0039751144549775,.0037538900358626,.0036980675570616,.0035398199923988,.0033659523066274,.0031528245043772,.0029677481987003,.0027732119454638,.0025919222814357,.0024631218781562,.0023346404549822,.0022012233056248,.0020940196729226,.0019690065975719,.0018641743066673,.0017606367551209,.0016782554380281,.0015953917424456,.0015258284215487,.0014513674234698,.0013793850038151,.0013098758363204,.0012474037757418,.001191924000779,.0011454536194867,.0011097889763834,.0010567028109676,.0010076058844184,.0009581701666745,.000924583198633,.0008931766376549,.0008096861761584,.0008729877866193,.001012451830329,.0007560510301076
MEX,Mexico,mortality,2,male,.0325656033616626,.0296696439986185,.0273056094895742,.025460114812924,.0234765420718141,.0216558650585862,.0200476779062978,.0185588992208612,.0173044815775103,.0161259303566967,.0150624977090283,.0141049733880487,.0132614620456104,.0124875025393247,.0118030055432728,.0111424425092134,.0105347017087279,.0099517856693371,.0094174632621526,.0089071761548544,.0084459952088324,.0079791722884711,.0075580712961949,.0071528176523665,.0067635832693398,.0063902949610892,.006030973753276,.0056838161486871,.0053683734991778,.0050653269964039,.0047798744396551,.0044679830095793,.0041929041913743,.0039938780638235,.0037540213559282,.0035338247860153,.0033351228083834,.0031435232875774,.0029612503335548,.00278974114686,.0026271122211392,.0024638774220983,.0023531018997335,.0022009466897985,.002071288479577,.0019540954049306,.0018505710920595,.0017454643532649,.0016419744657609,.0015569790463762,.0014821932282134,.0014070597922242,.0013455002318933,.0012702596625298,.0012109849372563,.0011570972900372,.0011058557860784,.001059740834972,.0010182245676458,.0009795037530184,.0009441343468208,.0009092590847374,.0008758006792456,.0008434597627217,.0008133981631551,.0007819951233196,.000748195464984,.0007168288128151,.0006948684058939,.0006696988112846,.0006583631399407,.0006555341851202,.0007452916458727,.0005818627772035
MEX,Mexico,mortality,3,male,.0210736742946321,.0195895059174046,.0183225735750251,.0164715032129058,.015447102589032,.0139151702853587,.0130833046188613,.0121176827090249,.0115110551636871,.0107930131448476,.010112991398887,.0094176505190106,.0089257733322216,.0084847777193963,.0080512466749519,.0076939013336786,.0072896188606282,.0070341521869383,.0066850367613531,.006467386753747,.0060968421234792,.0057998343204461,.0053603493037046,.0049926625248267,.0045829166824581,.0043225468236191,.0041307417310061,.0039413327791221,.0037227283960939,.0034772307202913,.0032439159543254,.0029990066467154,.0027486840450569,.0026029438877592,.0025173018566479,.0023963059685161,.0022490694133844,.0021390111152022,.0020561388487799,.001982245349919,.0018562355400323,.0017008172240928,.0015620126946476,.0014735601212529,.0013886491458133,.0013130314956591,.0012503819185018,.0011930654572359,.0011221741439787,.0010585539366578,.0010068462079211,.0009633045534464,.0009191593267638,.0008843591783973,.0008418033564452,.0008133641459505,.0007747922828976,.0007464702313713,.0007235808499779,.0007043344866194,.0006869152262713,.0006685117825202,.0006489315337929,.0006269024748717,.0006013860516619,.0005816670994547,.0005627500931434,.0005457649935938,.0005244190337623,.0005103959110204,.0005333945749327,.0004942948953931,.0005742603338618,.0004487511171739
MEX,Mexico,mortality,4,male,.013898714638785,.012956986870607,.012627808956254,.0110683933227655,.0102565888233747,.0091761276056435,.0087354561706867,.0080765493327953,.0078384448415878,.0073483057199635,.0069158602443989,.0064210981597089,.0061206090957013,.0058689135918012,.005600291287969,.0053959144060912,.0051353990527086,.0050441504146856,.0048277949773083,.0047566997447993,.0044707999474288,.0042639863430578,.0038797878260833,.0035594148878979,.0031795708577951,.0029964119212087,.0028991473940705,.0027901591022458,.0026453473474313,.0024409976909232,.0022620406635075,.0020551442430431,.0018708691409267,.0017750315253939,.0017220145190895,.0016748364129357,.0015652646716102,.0014918888263838,.001461547554359,.0014386455944898,.001340053204003,.0012013724335233,.0010830264018756,.0009984921270702,.0009628347540339,.0009099642808917,.0008716581798441,.0008333347622338,.0007869742431501,.0007468989133991,.0007054685801075,.000675744251186,.000648891192944,.0006240022964685,.0006058424129788,.000584725629073,.0005601284607018,.0005389489294397,.0005280182378018,.0005187198895248,.0005106130842424,.0005002431251552,.0004894651170732,.0004746731704759,.0004540174443785,.0004404547717237,.0004289851857116,.0004249669373992,.0004067169874152,.0003949974064488,.0004381332252241,.000377225584607,.0004522729542658,.0003551966112171
MEX,Mexico,mortality,5,male,.0092282625152302,.0086094224570575,.0086023380828436,.0075664538978412,.0069844637876852,.0060215902232656,.0058867788360032,.0054376334473562,.0053785116418464,.0050751964007853,.0047655877558232,.0044181027519853,.0042451756533018,.004109091949402,.0039526324911051,.0038467601637231,.0036634564446678,.0036690349691387,.0035331061870909,.003550009087054,.0033224452356695,.0031853997434078,.0028467767493197,.0025881656892568,.0022448465661762,.0021132815083359,.0020737234650087,.0020133364327444,.0019108268204409,.001749679879616,.0016089218835581,.0014428646753048,.0012926356464692,.0012422757687667,.00121647496447,.0011861565947728,.0011164430697282,.0010686536524727,.0010595048788639,.0010651519475618,.0009881450073035,.0008684632470169,.0007670035607668,.0007012897323352,.0006732334909807,.0006486809130689,.0006233152623563,.000599208941329,.0005631452348127,.0005392813946196,.0005118712108026,.0004880680653376,.0004682454720315,.0004533716883439,.0004416437576772,.0004363146711901,.0004152424052766,.0004023394145618,.0003952565773702,.0003926649495503,.0003888703230315,.0003836013893345,.0003771286770046,.0003680152673762,.0003507780537154,.0003427767006042,.000334803279159,.0003357305827138,.000323979507863,.00031589324891,.000364332228546,.0002992764604964,.000362619578675,.0002866272365646
MEX,Mexico,mortality,6,male,.0063023109306721,.0059028442739986,.0060188702249984,.0052373608931696,.0049548680345619,.0041578569333023,.0040481772394182,.0037944251880316,.0038136529891572,.0036116563382505,.0034050480748382,.0031309594967694,.0030360974470508,.002978263217119,.0028974072965694,.0028431391179398,.0027108348636813,.0027507203943154,.0026724787273059,.0027228917489431,.0025449933669666,.0024510033538813,.0021682100774781,.0019501724899614,.0016556326600923,.0015540031554096,.0015459381705092,.0015142171438447,.0014366695457832,.0013056588030039,.0012018285029132,.0010671517525024,.0009470609603309,.0009141526699531,.0009079588845339,.0008895822186696,.0008328307630453,.0008066325593988,.0008071240430932,.0008197748106228,.0007608879553193,.0006604321139255,.0005725288270088,.0005192154798326,.0005012093235636,.0004807824269153,.000471258497133,.0004540203197785,.0004272752622209,.0004081793995724,.0003907729281487,.000375445358095,.0003588022715539,.0003474874821563,.0003410764443089,.0003381394931078,.0003278760383106,.0003153174497194,.0003132770065866,.0003112711989014,.000309811862852,.0003065390954578,.0003035192534124,.0002976735064451,.0002840540474195,.0002792523390666,.0002732288138552,.0002767744462335,.0002673875713395,.0002643691112864,.0003126082731779,.0002477560381686,.0003039790309076,.0002384754644008
MEX,Mexico,mortality,7,male,.0046510667513254,.0044031360392911,.004534190577469,.0039284340766292,.0037386016858849,.003179317836943,.0030775735548211,.0028528220233912,.0029249464180074,.0027766218886627,.002614748913825,.0024035198251226,.002329158648114,.0023194421627741,.0022899565237864,.0022538737982245,.0021460328442704,.0021926718301161,.0021391704665989,.0021960813261906,.0020489700029271,.0019887236564227,.001759045934819,.0015800011804607,.0013250941629932,.0012466569349288,.0012493572521575,.0012279262640343,.0011649541643668,.0010563940784047,.000977423325937,.0008745162949034,.0007739265274534,.0007490538880374,.0007454107175969,.0007323889548726,.0006845712663734,.0006642221799902,.0006689093711416,.0006806529472365,.0006282161433072,.0005484219391084,.0004729298465841,.0004280496940085,.0004137603315864,.0003958212710598,.0003885741458022,.0003798295591609,.0003577102064634,.0003425718993165,.0003268201517306,.0003173307554893,.0003050574912727,.0002925720361547,.0002881009071238,.0002872463504246,.0002780916731408,.0002732086822381,.000269937655613,.0002686970518249,.0002658334351358,.0002623074572365,.0002606042021559,.000258290154084,.0002470087416569,.0002438769772238,.0002391546016236,.0002428528748364,.0002342701526762,.0002345203537609,.000276645324217,.0002198092438041,.0002655671008394,.0002121555090776
MEX,Mexico,mortality,8,male,.0038758241464912,.0036869444285885,.0037830415552954,.0033097564264437,.0031455933247997,.00271005178704,.002653088164327,.0024549767868986,.0024553858958988,.0023638084185849,.0022176686758046,.0020382165605096,.0019766293671646,.0019744051115716,.0019808921351246,.0019460854106523,.0018474094488309,.0018790585608086,.0018413905409031,.0018783214847919,.0017600283295851,.0017184400171717,.00154358519967,.0013956405648932,.0011793740333,.0011072661313046,.0011163954302498,.0010932262378434,.0010354106406339,.0009441176934357,.0008850463876387,.0008066687150471,.0007233190878605,.0006952779510215,.0006871994089334,.0006726591090341,.0006291952147755,.0006081747656986,.0006069450246431,.0006171006693169,.0005701939213816,.0005028502593722,.0004393303483796,.0003987813982389,.0003853338275393,.0003684514988372,.0003598213782233,.0003519665240728,.0003375478594644,.0003216376790349,.0003075532677105,.0002967179885281,.0002897630363002,.000278407749765,.0002710095147718,.0002696696327398,.0002632404635159,.0002583716392884,.0002585645096465,.0002545833635381,.0002498772155062,.000244402199964,.0002433359716379,.0002424644819951,.000233080494829,.0002304924914661,.0002264741226981,.000229665608627,.0002220072073678,.0002230515013719,.000253744468892,.0002090981103951,.0002459667536387,.000201912858661
MEX,Mexico,mortality,9,male,.003550289246618,.0033817578167951,.003403931462648,.0030383940207657,.0028781760882411,.0025229264995347,.0024411540167041,.0023195406093355,.0022628604193971,.0021418727166782,.002030074012708,.0018681306302078,.0017998833878368,.0018058745992287,.0018199513217839,.0017840921715604,.0016931463830673,.0017034322866638,.0016738483643542,.0016915105801213,.0015898578601172,.0015650446871897,.0014381676979899,.0013187878906618,.0011340688669803,.0010662013047297,.0010703746531755,.0010475703849714,.0009902774641439,.0009097159888896,.0008684461918634,.0008097965059748,.000737684841441,.0007039932752881,.0006846050275266,.0006679528143771,.000628164225158,.0006023394266586,.0005936599748988,.000597966161707,.0005576022729286,.0005012573360129,.0004417262887973,.000405098412597,.0003901074704184,.0003726982432569,.000363758083639,.0003550601450367,.000344592699443,.0003303467764902,.0003148522264797,.0003044242414835,.0002961892909384,.0002857197611801,.0002795083084279,.0002754966979505,.0002697068920688,.0002657428178337,.0002649182651841,.0002631636851717,.0002538629916976,.0002456424325324,.0002427512496955,.0002442981927998,.000236472182786,.0002340717657046,.0002297487846114,.0002327558645695,.0002245184692752,.0002264748188857,.0002440661419245,.0002121226347022,.000241285723089,.0002060629457089
