age,variable,sex,y2024,y2025,y2026,y2027,y2028,y2029,y2030,y2031,y2032,y2033,y2034,y2035,y2036,y2037,y2038,y2039,y2040,y2041,y2042,y2043,y2044,y2045,y2046,y2047,y2048,y2049,y2050,y2051,y2052,y2053,y2054,y2055,y2056,y2057,y2058,y2059,y2060,y2061,y2062,y2063,y2064,y2065,y2066,y2067,y2068,y2069,y2070,y2071,y2072,y2073,y2074,y2075,y2076,y2077,y2078,y2079,y2080,y2081,y2082,y2083,y2084,y2085,y2086,y2087,y2088,y2089,y2090,y2091,y2092,y2093,y2094,y2095,y2096,y2097,y2098,y2099,y2100,y2101,y2102,y2103
81,mortality,male,0.07107527,0.07064761,0.07019673,0.06972802,0.06925983,0.06880641,0.06832909,0.06784083,0.06740212,0.06690636,0.06645812,0.06601702,0.06552122,0.06495404,0.0644067,0.0638657,0.0632769,0.06274189,0.06216336,0.06159147,0.06102514,0.06044221,0.05987567,0.05934499,0.05879297,0.05822477,0.05765944,0.05705696,0.05640823,0.05583823,0.05525622,0.0546358,0.05408434,0.05346844,0.05289288,0.05233035,0.05173172,0.05119797,0.05060704,0.05009274,0.04951094,0.04897919,0.04846073,0.0479072,0.04737761,0.04690624,0.04639415,0.04588163,0.04534019,0.0448193,0.04435214,0.04387027,0.04337788,0.0428929,0.04240105,0.04193373,0.04148973,0.04105321,0.04062278,0.04020347,0.03978079,0.03940666,0.03901844,0.038626,0.03823445,0.03784758,0.0374447,0.03706515,0.03669915,0.03635466,0.03603463,0.03567473,0.03532082,0.03496503,0.03461521,0.03428621,0.03394783,,,
82,mortality,male,0.07741076,0.07698355,0.07653046,0.07605741,0.07558633,0.07513068,0.07465013,0.07415338,0.07371383,0.07320778,0.0727545,0.07231065,0.07180424,0.07122208,0.07066127,0.070106,0.06949762,0.06894736,0.06834822,0.06775602,0.06716922,0.06656349,0.06597442,0.06542472,0.06485256,0.06426043,0.06367299,0.06304073,0.06235902,0.06175942,0.06114917,0.06049363,0.05991501,0.05926379,0.05865648,0.0580617,0.05742894,0.05686739,0.05623952,0.05569498,0.05507688,0.05451057,0.05395926,0.05336762,0.05280197,0.05229943,0.05175329,0.05120512,0.05062426,0.05006705,0.04956804,0.04905128,0.04852334,0.04800328,0.04747429,0.04697125,0.04649212,0.04602267,0.04555802,0.0451055,0.04464908,0.04424575,0.0438272,0.04340209,0.04297928,0.04256289,0.04212693,0.04171512,0.04132014,0.0409472,0.04060357,0.04021287,0.03983089,0.03944279,0.03906262,0.03870303,0.03833537,,,
83,mortality,male,0.08427646,0.08385292,0.08340053,0.08292579,0.0824546,0.08199946,0.08151843,0.081015,0.08057728,0.08006237,0.07960602,0.07916156,0.07864586,0.07804967,0.07747672,0.07690863,0.07628165,0.07571742,0.07509841,0.07448667,0.07388008,0.07325202,0.07264078,0.07207277,0.07148117,0.07086532,0.07025629,0.0695937,0.0688783,0.06824829,0.06760935,0.06691733,0.06631103,0.06562311,0.06498293,0.06435454,0.06368633,0.06309618,0.06242946,0.06185326,0.06119747,0.06059496,0.06000942,0.05937762,0.05877404,0.05823878,0.05765702,0.05707127,0.05644867,0.05585328,0.05532076,0.05476705,0.0542015,0.05364432,0.05307587,0.05253417,0.05201685,0.05151171,0.05100978,0.05052105,0.05002795,0.04959268,0.04914095,0.04868011,0.04822305,0.0477744,0.04730212,0.04685488,0.04642803,0.04602378,0.04565413,0.04522948,0.04481649,0.04439263,0.04397874,0.04358513,0.04318486,,,
84,mortality,male,0.09175256,0.09133526,0.09088582,0.0904113,0.08994215,0.0894896,0.08901024,0.08850124,0.08806742,0.08754439,0.08708633,0.08664284,0.0861185,0.08550859,0.08492419,0.08434413,0.08369886,0.08312133,0.08248252,0.08185136,0.08122506,0.08057449,0.07994082,0.0793546,0.07874371,0.07810371,0.07747301,0.07677894,0.07602861,0.07536678,0.07469819,0.07396783,0.07333283,0.07260626,0.0719316,0.07126778,0.0705623,0.06994233,0.06923435,0.06862459,0.06792906,0.06728804,0.06666629,0.06599159,0.0653475,0.06477734,0.06415776,0.06353185,0.06286449,0.0622284,0.06166006,0.06106667,0.06046078,0.05986378,0.05925284,0.05866881,0.05810948,0.0575652,0.05702219,0.05649352,0.05596005,0.0554894,0.05500095,0.05450056,0.05400554,0.05352119,0.05300862,0.05252203,0.0520597,0.05162057,0.05122179,0.05075931,0.05031168,0.0498479,0.04939627,0.04896451,0.04852766,,,
85,mortality,male,0.09984821,0.09944004,0.09899616,0.09852425,0.09805986,0.09761262,0.0971377,0.09662495,0.09619795,0.09566835,0.09521074,0.09477082,0.09423938,0.09361719,0.09302304,0.09243263,0.09177017,0.0911808,0.090523,0.08987333,0.08922818,0.0885557,0.08790002,0.08729649,0.08666726,0.08600348,0.08535181,0.08462575,0.08383981,0.08314521,0.08244655,0.0816764,0.08101214,0.08024543,0.07953508,0.07883435,0.07809021,0.07743962,0.07668826,0.07604334,0.07530627,0.07462461,0.07396483,0.07324465,0.07255764,0.07195049,0.07129098,0.0706224,0.06990733,0.06922805,0.06862161,0.06798581,0.06733685,0.06669731,0.0660408,0.06541129,0.06480665,0.06422029,0.06363291,0.06306111,0.06248399,0.06197503,0.06144689,0.0609035,0.06036739,0.05984454,0.05928828,0.05875881,0.05825802,0.05778087,0.05735054,0.05684678,0.05636154,0.05585392,0.05536093,0.05488714,0.05441016,,,
86,mortality,male,0.10857277,0.10817986,0.10774736,0.10728368,0.10683024,0.10639453,0.10593055,0.10541907,0.10500556,0.10447417,0.10402257,0.10359255,0.10305891,0.10243094,0.10183311,0.10123802,0.10056334,0.09996741,0.09929501,0.0986313,0.09797162,0.0972812,0.09660715,0.09599043,0.09534719,0.09466301,0.09399439,0.09323866,0.09241985,0.09169413,0.09096813,0.09015953,0.08946831,0.0886626,0.08791801,0.08718131,0.08639982,0.0857206,0.08492596,0.08424629,0.08346784,0.08274484,0.08204662,0.08127949,0.08054823,0.07990295,0.07920246,0.07848955,0.07772448,0.07700065,0.07635493,0.07567468,0.07498071,0.07429663,0.07359187,0.07291458,0.07226178,0.07163123,0.07099659,0.07037882,0.06975505,0.06920514999999999,0.06863467,0.06804474,0.06746462,0.06690093,0.06629769,0.06572157,0.0651795,0.06466096,0.06419695,0.06364807,0.06312234,0.06256685,0.06202927,0.06150923,0.06098896,,,
87,mortality,male,0.11793572,0.11756173,0.11714413,0.11669217,0.11625383,0.11583397,0.11538547,0.11487892,0.11448409,0.11395468,0.1135135,0.11309879,0.11256706,0.11193814,0.11134133,0.11074566,0.11006236,0.10946385,0.10878006,0.10810577,0.10743499,0.1067298,0.10604024,0.10541386,0.10476037,0.10405881,0.1033767,0.10259341,0.1017441,0.10098873,0.10023787,0.09939228,0.09867626,0.09783284,0.09705566,0.0962843,0.09546707,0.09476151,0.0939243,0.09321084,0.09239078,0.09162565,0.09088847,0.090073,0.08929622,0.0886118,0.08786932,0.08711059,0.08629347,0.08552359,0.08483736,0.08411075,0.0833699,0.08263939,0.08188396,0.08115761,0.08045499,0.07977922,0.07909572,0.07843049,0.07775823,0.07716618,0.07655217,0.07591353,0.07528806,0.07468272,0.07403087,0.07340584,0.0728214,0.07225968,0.07176164,0.07116549,0.07059829,0.06999239,0.06940874,0.06883983,0.06827493,,,
88,mortality,male,0.12788984,0.12753921,0.12714087,0.12670512,0.1262871,0.12588858,0.12546136,0.12496473,0.1245952,0.12407306,0.12364821,0.12325591,0.12273183,0.12210881,0.12151958,0.12092913,0.12024255,0.11964718,0.11895692,0.1182773,0.11760067,0.11688577,0.11618535,0.11555473,0.11489669,0.11418275,0.11349253,0.11268576,0.11181045,0.1110287,0.11025747,0.1093784,0.10864166,0.10776385,0.10695777,0.10615502,0.10530578,0.10457833,0.10370129,0.10295693,0.10209666,0.10129011,0.10051492,0.09965115,0.09882905,0.09810587,0.09732183,0.09651721,0.0956474,0.09483142,0.09410484,0.09333129,0.09254307,0.09176561,0.09095837,0.09018336,0.08943089,0.0887106,0.08797826,0.08726571,0.08654459,0.08591082,0.08525377,0.08456563,0.08389512,0.08324915,0.08254875,0.08187394,0.0812478,0.08064255,0.08011197,0.07946781,0.07885999,0.07820248,0.07757295,0.07695382,0.07634464,,,
89,mortality,male,0.13822554,0.13790556,0.13753379,0.13712168,0.13673215,0.13636335,0.13596616,0.1354874,0.1351526,0.13464599,0.1342462,0.13388619,0.13337848,0.13277134,0.13219938,0.13162315,0.13094196,0.13035865,0.12967015,0.12899377,0.12831985,0.12760364,0.12690033,0.12627413,0.12562058,0.12490263,0.12421309,0.12339045,0.12249751,0.12169615,0.12091274,0.12000754,0.11925775,0.11835265,0.1175251,0.11669795,0.11582429,0.11508315,0.11417287,0.113404,0.11250841,0.11166438,0.1108554,0.10994664,0.10908258,0.10832408,0.10750214,0.10665471,0.10573473,0.10487588,0.10411223,0.10329423,0.1024613,0.10163949,0.10078238,0.09996172,0.09916179,0.09840023,0.09762146,0.09686408,0.09609621,0.09542335,0.09472601,0.09398982,0.09327683,0.09259355,0.09184688,0.09112359,0.09045854,0.08981151,0.08925198,0.08856113,0.08791563,0.08720726,0.08653398,0.08586505,0.08521385,,,
90,mortality,male,0.14919857,0.14891285,0.14857119,0.14818637,0.14782979,0.14749544,0.14713337,0.14667664,0.1463825,0.14589587,0.14552627,0.14520494,0.14471859,0.14413349,0.14358509,0.14302907,0.14235891,0.14179379,0.14111221,0.14044495,0.13977971,0.13906807,0.13836714,0.1377518,0.13710964,0.13639391,0.13571152,0.13487849,0.13397434,0.13315777,0.13236842,0.13144278,0.13068551,0.12975844,0.12891519,0.12806906,0.12717706,0.12642914,0.12549082,0.12470231,0.12377558,0.12289692,0.12205797,0.12110657,0.12020312,0.11941208,0.11855595,0.11766825,0.11670011,0.1158019,0.11500427,0.11414414,0.11326904,0.1124055,0.1115005,0.11063614,0.10979011,0.10898958,0.10816585,0.10736528,0.10655154,0.10584151,0.10510595,0.10432207,0.10356853,0.10285073,0.10205946,0.101288,0.10058645,0.09989855,0.09931343,0.09857641,0.0978959,0.09713608,0.09642005,0.09570044,0.09500843,,,
