iso3,location,variable,age,sex,y2024,y2025,y2026,y2027,y2028,y2029,y2030,y2031,y2032,y2033,y2034,y2035,y2036,y2037,y2038,y2039,y2040,y2041,y2042,y2043,y2044,y2045,y2046,y2047,y2048,y2049,y2050,y2051,y2052,y2053,y2054,y2055,y2056,y2057,y2058,y2059,y2060,y2061,y2062,y2063,y2064,y2065,y2066,y2067,y2068,y2069,y2070,y2071,y2072,y2073,y2074,y2075,y2076,y2077,y2078,y2079,y2080,y2081,y2082,y2083,y2084,y2085,y2086,y2087,y2088,y2089,y2090,y2091,y2092,y2093,y2094,y2095,y2096,y2097,y2098,y2099,y2100
MEX,Mexico,mortality,0,male,.0008051320175451,.0007840770836629,.0007617308019726,.0007403204345333,.0007174663531295,.0006959012425367,.0006742081861464,.0006535914338673,.000633124758467,.0006137105414601,.0005952789084268,.0005749595698884,.0005563583663047,.0005386471385032,.0005241855147939,.0005103178551212,.0004954984131097,.0004822151855331,.0004689586701343,.000456828082952,.0004444563861777,.0004317325699277,.0004204399921609,.0004083012826411,.0003971511949954,.0003859776320683,.0003739202461247,.0003641947594165,.00035300141562,.0003440127199615,.0003349594613165,.0003265827200629,.0003168769407153,.000307954141229,.0003004224928982,.0002924865443417,.0002843782410755,.0002772731866463,.0002706041531855,.0002635598234676,.0002573599643411,.0002511898113137,.0002452496358312,.0002389671189391,.0002342157743639,.0002290754734686,.0002238816347531,.0002187692825489,.0002132262401012,.0002092231842061,.0002054060576114,.0001998346296036,.0001959324997916,.000191661825977,.0001873770338216,.0001845015682633,.0001801638128113,.0001769646894422,.0001740180301159,.0001705537414839,.0001671880224626,.0001640132787674,.0001605664657731,.0001586876690064,.000155001210947,.0001529771136473,.0001492060108707,.0001471293250236,.0001448520095303,.000140907443939,.0001386263816148,.0001363328840029,.0001341956262549,.0001318384701186,.0001294099953482,.0001285598305124,.0001259168877602
MEX,Mexico,mortality,1,male,.0008051320175451,.0007840770836629,.0007617308019726,.0007403204345333,.0007174663531295,.0006959012425367,.0006742081861464,.0006535914338673,.000633124758467,.0006137105414601,.0005952789084268,.0005749595698884,.0005563583663047,.0005386471385032,.0005241855147939,.0005103178551212,.0004954984131097,.0004822151855331,.0004689586701343,.000456828082952,.0004444563861777,.0004317325699277,.0004204399921609,.0004083012826411,.0003971511949954,.0003859776320683,.0003739202461247,.0003641947594165,.00035300141562,.0003440127199615,.0003349594613165,.0003265827200629,.0003168769407153,.000307954141229,.0003004224928982,.0002924865443417,.0002843782410755,.0002772731866463,.0002706041531855,.0002635598234676,.0002573599643411,.0002511898113137,.0002452496358312,.0002389671189391,.0002342157743639,.0002290754734686,.0002238816347531,.0002187692825489,.0002132262401012,.0002092231842061,.0002054060576114,.0001998346296036,.0001959324997916,.000191661825977,.0001873770338216,.0001845015682633,.0001801638128113,.0001769646894422,.0001740180301159,.0001705537414839,.0001671880224626,.0001640132787674,.0001605664657731,.0001586876690064,.000155001210947,.0001529771136473,.0001492060108707,.0001471293250236,.0001448520095303,.000140907443939,.0001386263816148,.0001363328840029,.0001341956262549,.0001318384701186,.0001294099953482,.0001285598305124,.0001259168877602
MEX,Mexico,mortality,2,male,.000609864923032,.0005940513724036,.0005790897726094,.0005639507312134,.0005485130418682,.0005322774659182,.000517286669765,.0005024624729698,.0004879695556101,.0004735872172633,.0004605280860039,.0004454027773153,.000432455298991,.0004192858866053,.0004080823626803,.0003980522120711,.0003876788987771,.0003773744040674,.000367414578836,.0003585972029418,.0003487211152856,.0003397466588775,.0003305384720746,.0003218197193321,.000313335898387,.000304709624521,.0002961211652603,.0002891738752736,.0002810520675864,.0002739124349005,.0002666345244226,.0002605232338798,.000253995157985,.0002473991848322,.0002404448355345,.0002348535339109,.0002289690635933,.0002242444315855,.0002179949653544,.0002134055333567,.0002085255265599,.0002032760661697,.0001993879192332,.0001943340818794,.0001903679268117,.0001865559036713,.0001824240003648,.0001782645390051,.0001755497163819,.0001711178521174,.0001682033036269,.0001654309692529,.0001609698797802,.0001581423544761,.0001550257121217,.0001519032584738,.000148717871682,.0001470677421311,.0001436134049363,.0001418702195904,.0001381865269689,.0001361299963229,.0001342445113737,.0001321359376318,.0001300108342362,.0001277199086237,.0001254807378919,.0001231395663845,.0001208495224788,.000118370028042,.0001175905363136,.0001151168774886,.0001126272175617,.0001119768741914,.0001094337066239,.0001085671759401,.0001058048042435
MEX,Mexico,mortality,3,male,.0004673993690109,.0004549773180425,.0004430754466549,.0004330289394612,.0004216309514641,.0004107574586875,.0003995602829047,.0003895550674031,.0003789356593735,.0003688173155632,.000358793217571,.0003482421028848,.0003386997265391,.0003292723081989,.0003207092738783,.0003131342294987,.0003056594013778,.0002979019956207,.0002912743306104,.0002838555000824,.0002764840917002,.0002702372082161,.0002638664633585,.0002573171008184,.0002502731291226,.0002433887090709,.0002375935961538,.0002318107953228,.0002254906498522,.0002203616565927,.0002150859860605,.0002097029046291,.0002055098798567,.0001997550828984,.0001951849377285,.000190339573362,.0001868636149847,.0001818899130515,.0001780842777392,.0001741103157763,.0001704294428662,.0001665173296964,.0001636434754149,.0001594558669039,.0001567535793193,.0001538599792493,.0001510893542441,.000148076390811,.0001450277783976,.0001420336690109,.000138780515782,.0001370246244669,.0001339577010554,.0001321360740194,.0001290226097462,.0001271365594482,.0001252607735449,.0001218358404943,.0001199353867081,.0001177838284333,.0001158007855925,.0001150427757023,.0001128068699384,.0001106939880514,.0001083876068335,.0001076663243842,.0001052140863856,.0001044238171147,.0001019249010753,.0001011051958126,.0000984907543891,.000097553427321,.0000966131170103,.0000939672993798,.0000931395800095,.0000921726306417,.0000911645748487
MEX,Mexico,mortality,4,male,.0003624433388092,.0003548059078513,.0003464665200405,.0003380760855245,.0003305937542305,.0003223197530596,.000314461955594,.0003075973530544,.0002998904791865,.0002927242221644,.000285165934775,.0002777052257103,.0002708500020236,.0002629601803156,.0002572340514888,.0002513980052941,.0002455190123121,.0002397037090939,.0002347372342785,.0002287491001813,.0002229924936791,.0002183649319154,.0002126700107448,.0002079806094619,.000203157913852,.0001979371063426,.0001928787324056,.0001889082850276,.0001837938586932,.0001806141594371,.0001762689264263,.0001717982314461,.0001684594989184,.0001651039292271,.000161488476555,.0001578346093719,.000153968668638,.0001501839753698,.000147479574079,.0001447062076379,.0001417976560457,.0001391339045699,.0001362900782146,.0001332033268863,.0001301306001435,.0001285305307364,.0001254145838076,.0001237708863371,.0001219245231781,.0001186748072931,.000116864373966,.0001148432814554,.0001128919780961,.0001110396483648,.0001090295353743,.0001071540758181,.000105085548517,.0001030129034859,.000102403778097,.0001003091345145,.0000980093384523,.0000973845297718,.0000965012085998,.0000941129229592,.0000934017223911,.0000909510125082,.0000900889306444,.0000891261264327,.0000865754194416,.0000855782539074,.0000846291831293,.0000835606182149,.0000825070004664,.0000814456604734,.0000803870894914,.0000794263346646,.0000783439823117
MEX,Mexico,mortality,5,male,.0002903471816998,.0002827395958897,.0002771230626384,.0002711704598591,.0002647583377056,.0002592770099861,.0002534011181324,.000247858472812,.000242534759961,.0002363279704803,.00023178378555,.0002259313764253,.0002201379738005,.0002150571148062,.0002099721081826,.0002060178226439,.0002009282886938,.0001968516504681,.0001928291137681,.0001886395852085,.0001845028462277,.0001805544004937,.0001766499658845,.0001727751025504,.0001688193003228,.000164742212522,.000160361776167,.0001572468845461,.0001529287608801,.0001509713472895,.0001475075389438,.0001440529538658,.0001404989408076,.0001380943710046,.0001356806915275,.0001318140725201,.0001291625127752,.0001263435052489,.0001235878180634,.000121963118353,.0001189948043247,.0001172084082707,.0001156365595495,.0001125944137275,.000110677144103,.0001087838237111,.0001069972113005,.0001050831589908,.0001032510307895,.0001012517771074,.0000992385190818,.0000986667305651,.0000965137255292,.0000944135772446,.0000938330061208,.0000916805036316,.000089635360415,.0000888983713818,.0000881784133266,.0000859236033646,.0000851981846701,.0000843141883916,.0000820143973953,.0000810199792153,.0000800753650495,.0000792301366086,.0000782638834539,.0000772968020059,.0000746196022451,.0000752148938571,.0000741364341034,.0000730878798701,.0000719342621218,.0000707890620786,.0000696370550659,.0000684810726875,.0000674053602817
MEX,Mexico,mortality,6,male,.0002405383531329,.0002359055849232,.0002301943255212,.0002259301027553,.0002206091113481,.00021648572796,.0002123524224398,.0002080783960128,.000203090375217,.0001984530734035,.0001949345446349,.0001901158173294,.0001860652544211,.000182083971748,.0001778304682869,.0001746295657266,.0001704568770406,.0001672584227319,.0001640260950606,.000160846869491,.0001575346900019,.0001531756240006,.0001500623251555,.0001469848760299,.0001439362663602,.0001408155586547,.0001376147832397,.0001341486206197,.0001319415429522,.0001285407123493,.0001263294104313,.000123840041534,.0001213668065389,.0001188162506683,.0001162110784633,.0001135864170399,.0001120266872464,.0001092077168432,.0001074954693821,.0001058542501757,.0001028067528616,.0001009865610192,.0000990759860668,.0000973353782532,.0000967924570832,.0000947687642153,.0000927572703552,.0000908358799014,.0000901571603227,.0000881943583171,.0000874697500448,.000085344645463,.0000846527403503,.0000823986532082,.000081616288893,.0000794723039021,.0000786594105788,.0000779543599285,.0000756374681322,.0000747946512849,.000073932914179,.0000730958530286,.0000721204011736,.0000712491210027,.0000701767518456,.0000691448821001,.000068199733228,.0000671445654468,.0000660869284891,.0000649445535874,.0000638304140466,.0000626621176168,.0000631789660596,.0000619516442301,.0000607309987888,.0000594988159736,.0000599739199125
MEX,Mexico,mortality,7,male,.000210720767135,.0002086535520199,.0002049532574345,.0002001892354849,.0001965571957586,.0001920073116384,.0001875337657946,.0001849936679029,.0001804995075934,.0001772389180615,.000173423110041,.000169710790456,.0001657339867208,.0001625718454374,.0001594653561514,.0001561335503937,.000152813975152,.0001495512934607,.0001462160246406,.0001439155695325,.0001405988221897,.0001382326736683,.0001348277466804,.000131558751946,.0001294189090981,.0001261914201002,.0001240322664303,.0001206628259462,.0001182035809947,.0001158421025805,.0001134526808752,.0001110819619438,.0001096509524139,.0001070441033733,.0001043601931392,.0001028438780957,.0001000940389675,.0000984239705974,.0000967397449589,.0000949335844643,.0000931839156903,.000091323026265,.0000894165762782,.0000887261662598,.0000868892083603,.0000849352700344,.0000841646260085,.0000820779444453,.0000814162077959,.0000793000810775,.0000786201474473,.000076430607262,.0000756171197159,.0000748412095469,.0000725166255028,.0000716550012325,.0000708650599099,.0000699802305849,.0000691909080203,.0000682779267853,.0000673722285685,.00006644578477,.0000655397887485,.0000645030500728,.0000635569245269,.0000624288895929,.0000613381145607,.0000603196624639,.0000592022733673,.0000580748197261,.0000585012943411,.0000573321233525,.0000561127403977,.0000549101304199,.0000552995391705,.0000540265844562,.0000527414495052
MEX,Mexico,mortality,8,male,.000200388936709,.0001969570141317,.0001946552947658,.0001918934017974,.0001871250411108,.0001833507930399,.0001787164126043,.0001760198698231,.0001723458735474,.0001687380084349,.0001653576686373,.0001614617128868,.000158663322532,.0001546117300131,.0001513770679189,.0001492350150945,.0001458506530984,.0001424683479328,.0001401868173798,.0001367906371581,.0001344315466029,.0001310438610248,.0001286183364353,.0001262322608307,.0001228893480171,.0001206639840148,.000117356724205,.0001151058353016,.0001127881223854,.0001102609278917,.0001078229616533,.000105353108502,.0001040787024224,.0001013921741941,.0000999091188136,.0000971561189531,.0000955752342512,.0000939936801618,.0000910217629295,.000090531988598,.0000886771896932,.0000868730924649,.0000849635171807,.000083004988081,.0000822685218436,.0000803727186006,.0000796911172296,.000077549956211,.0000767567189061,.0000746928426602,.0000738931423059,.0000731626848221,.0000709287916654,.000070071290531,.0000692476734902,.0000683048445211,.0000674099933164,.0000651319645972,.0000642007733275,.0000633497895461,.0000623890551772,.0000614318720539,.0000604541923471,.000059489488665,.0000584037636615,.0000589492756996,.0000577903771213,.0000566628419248,.0000556014488149,.0000544426830635,.0000548924511578,.0000536676993633,.0000524578124436,.0000511993023682,.0000516210680566,.0000503093184597,.0000489976599393
MEX,Mexico,mortality,9,male,.0002028647335164,.0001996284540736,.0001961808880765,.0001948102916575,.0001910973243537,.0001863236545919,.0001825384310296,.0001778928258227,.0001742104325772,.0001714931136645,.0001678727345872,.0001644863862441,.0001605760539697,.0001577709308587,.0001537047454803,.0001504642750405,.0001472809040973,.0001449234564349,.0001415278296131,.0001381823014842,.0001358339514839,.0001323958850505,.0001300685063298,.0001276343513795,.0001241505488761,.0001218803837365,.0001185427440762,.0001163269323693,.0001129353941784,.0001105936140739,.0001091964064037,.0001067456274902,.0001042629488139,.0001017915309446,.0001002748007038,.0000975729628934,.0000960133786743,.0000931961877854,.0000915880123669,.0000898426630364,.0000880836643811,.0000862090823804,.0000843836541191,.0000837393618803,.0000817690142161,.0000797170957886,.0000791139240506,.0000770944433515,.0000762687711495,.0000741195939863,.0000733916026416,.000071209855444,.0000704538610097,.0000695887444381,.0000673174959574,.0000664696149005,.0000655073759881,.0000645888203928,.0000637322780813,.0000627849047568,.0000619206913887,.0000609476014146,.0000599781079906,.0000589851826196,.0000580042862115,.0000569049548836,.0000558855216137,.0000547047661918,.0000535537648297,.0000540499294172,.0000528803781748,.0000517002098705,.0000504503918043,.0000508530183727,.0000495819415958,.0000483234270308,.0000486653935352
