age,variable,sex,y2024,y2025,y2026,y2027,y2028,y2029,y2030,y2031,y2032,y2033,y2034,y2035,y2036,y2037,y2038,y2039,y2040,y2041,y2042,y2043,y2044,y2045,y2046,y2047,y2048,y2049,y2050,y2051,y2052,y2053,y2054,y2055,y2056,y2057,y2058,y2059,y2060,y2061,y2062,y2063,y2064,y2065,y2066,y2067,y2068,y2069,y2070,y2071,y2072,y2073,y2074,y2075,y2076,y2077,y2078,y2079,y2080,y2081,y2082,y2083,y2084,y2085,y2086,y2087,y2088,y2089,y2090,y2091,y2092,y2093,y2094,y2095,y2096,y2097,y2098,y2099,y2100,y2101,y2102,y2103,
0,mort_rate,male,0.00557002000000,0.00557002000000,0.00539823000000,0.00522827000000,0.00507872000000,0.00491157000000,0.00475564000000,0.00463943000000,0.00452340000000,0.00440879000000,0.00429231000000,0.00418344000000,0.00407816000000,0.00396736000000,0.00385892000000,0.00376270000000,0.00366101000000,0.00355957000000,0.00346064000000,0.00336241000000,0.00327287000000,0.00318925000000,0.00310381000000,0.00302212000000,0.00294375000000,0.00286905000000,0.00279711000000,0.00272541000000,0.00265751000000,0.00259332000000,0.00252984000000,0.00247133000000,0.00241520000000,0.00236595000000,0.00232396000000,0.00228401000000,0.00224688000000,0.00220523000000,0.00216946000000,0.00213195000000,0.00209755000000,0.00206488000000,0.00203269000000,0.00199905000000,0.00197110000000,0.00193907000000,0.00191078000000,0.00188273000000,0.00185345000000,0.00183133000000,0.00180790000000,0.00178519000000,0.00176045000000,0.00173671000000,0.00171639000000,0.00169438000000,0.00167661000000,0.00165367000000,0.00162912000000,0.00161098000000,0.00159353000000,0.00157239000000,0.00155485000000,0.00153145000000,0.00150922000000,0.00149052000000,0.00146922000000,0.00145140000000,0.00143560000000,0.00141724000000,0.00140266000000,0.00138617000000,0.00137276000000,0.00135837000000,0.00134153000000,0.00132713000000,0.00131010000000,0.00131010000000,0.00131010000000,0.00131010000000,
1,mort_rate,male,0.00053130000000,0.00053130000000,0.00051402000000,0.00049689000000,0.00048147000000,0.00046466000000,0.00044885000000,0.00043611000000,0.00042353000000,0.00041114000000,0.00039851000000,0.00038679000000,0.00037547000000,0.00036370000000,0.00035221000000,0.00034177000000,0.00033105000000,0.00032043000000,0.00031011000000,0.00029995000000,0.00029036000000,0.00028144000000,0.00027262000000,0.00026403000000,0.00025580000000,0.00024796000000,0.00024044000000,0.00023302000000,0.00022600000000,0.00021915000000,0.00021266000000,0.00020671000000,0.00020074000000,0.00019557000000,0.00019081000000,0.00018635000000,0.00018213000000,0.00017774000000,0.00017378000000,0.00016962000000,0.00016586000000,0.00016229000000,0.00015880000000,0.00015514000000,0.00015186000000,0.00014842000000,0.00014551000000,0.00014256000000,0.00013956000000,0.00013687000000,0.00013434000000,0.00013163000000,0.00012898000000,0.00012644000000,0.00012409000000,0.00012175000000,0.00011965000000,0.00011730000000,0.00011488000000,0.00011284000000,0.00011080000000,0.00010879000000,0.00010680000000,0.00010462000000,0.00010255000000,0.00010057000000,0.00009863000000,0.00009677000000,0.00009516000000,0.00009339000000,0.00009182000000,0.00009023000000,0.00008878000000,0.00008722000000,0.00008568000000,0.00008425000000,0.00008275000000,0.00008275000000,0.00008275000000,0.00008275000000,
2,mort_rate,male,0.00033076000000,0.00033076000000,0.00032080000000,0.00031087000000,0.00030192000000,0.00029210000000,0.00028283000000,0.00027535000000,0.00026795000000,0.00026065000000,0.00025322000000,0.00024627000000,0.00023955000000,0.00023254000000,0.00022567000000,0.00021945000000,0.00021302000000,0.00020661000000,0.00020037000000,0.00019419000000,0.00018843000000,0.00018310000000,0.00017778000000,0.00017260000000,0.00016764000000,0.00016292000000,0.00015838000000,0.00015389000000,0.00014963000000,0.00014550000000,0.00014155000000,0.00013793000000,0.00013432000000,0.00013117000000,0.00012831000000,0.00012561000000,0.00012307000000,0.00012038000000,0.00011797000000,0.00011545000000,0.00011316000000,0.00011098000000,0.00010884000000,0.00010661000000,0.00010463000000,0.00010252000000,0.00010070000000,0.00009888000000,0.00009701000000,0.00009540000000,0.00009383000000,0.00009219000000,0.00009055000000,0.00008897000000,0.00008753000000,0.00008608000000,0.00008479000000,0.00008332000000,0.00008178000000,0.00008052000000,0.00007927000000,0.00007798000000,0.00007675000000,0.00007533000000,0.00007400000000,0.00007275000000,0.00007148000000,0.00007031000000,0.00006928000000,0.00006814000000,0.00006715000000,0.00006611000000,0.00006520000000,0.00006421000000,0.00006320000000,0.00006228000000,0.00006128000000,0.00006128000000,0.00006128000000,0.00006128000000,
3,mort_rate,male,0.00024275000000,0.00024275000000,0.00023591000000,0.00022907000000,0.00022291000000,0.00021611000000,0.00020966000000,0.00020445000000,0.00019927000000,0.00019415000000,0.00018895000000,0.00018406000000,0.00017932000000,0.00017436000000,0.00016950000000,0.00016510000000,0.00016053000000,0.00015596000000,0.00015150000000,0.00014707000000,0.00014296000000,0.00013917000000,0.00013536000000,0.00013166000000,0.00012811000000,0.00012472000000,0.00012147000000,0.00011823000000,0.00011516000000,0.00011220000000,0.00010935000000,0.00010672000000,0.00010413000000,0.00010184000000,0.00009979000000,0.00009785000000,0.00009603000000,0.00009407000000,0.00009233000000,0.00009050000000,0.00008884000000,0.00008725000000,0.00008569000000,0.00008407000000,0.00008264000000,0.00008110000000,0.00007976000000,0.00007842000000,0.00007704000000,0.00007588000000,0.00007473000000,0.00007354000000,0.00007233000000,0.00007117000000,0.00007012000000,0.00006904000000,0.00006811000000,0.00006701000000,0.00006585000000,0.00006492000000,0.00006401000000,0.00006303000000,0.00006213000000,0.00006106000000,0.00006004000000,0.00005911000000,0.00005814000000,0.00005726000000,0.00005648000000,0.00005561000000,0.00005487000000,0.00005409000000,0.00005340000000,0.00005267000000,0.00005189000000,0.00005118000000,0.00005041000000,0.00005041000000,0.00005041000000,0.00005041000000,
4,mort_rate,male,0.00018534000000,0.00018534000000,0.00018047000000,0.00017558000000,0.00017117000000,0.00016628000000,0.00016164000000,0.00015786000000,0.00015410000000,0.00015037000000,0.00014658000000,0.00014300000000,0.00013953000000,0.00013589000000,0.00013232000000,0.00012909000000,0.00012571000000,0.00012232000000,0.00011901000000,0.00011571000000,0.00011267000000,0.00010986000000,0.00010702000000,0.00010426000000,0.00010162000000,0.00009909000000,0.00009666000000,0.00009424000000,0.00009194000000,0.00008972000000,0.00008757000000,0.00008560000000,0.00008366000000,0.00008193000000,0.00008040000000,0.00007894000000,0.00007757000000,0.00007609000000,0.00007477000000,0.00007340000000,0.00007214000000,0.00007094000000,0.00006975000000,0.00006852000000,0.00006745000000,0.00006627000000,0.00006524000000,0.00006421000000,0.00006314000000,0.00006228000000,0.00006139000000,0.00006050000000,0.00005957000000,0.00005868000000,0.00005788000000,0.00005705000000,0.00005634000000,0.00005549000000,0.00005459000000,0.00005387000000,0.00005318000000,0.00005241000000,0.00005171000000,0.00005086000000,0.00005006000000,0.00004933000000,0.00004856000000,0.00004788000000,0.00004727000000,0.00004658000000,0.00004600000000,0.00004538000000,0.00004485000000,0.00004427000000,0.00004365000000,0.00004309000000,0.00004247000000,0.00004247000000,0.00004247000000,0.00004247000000,
5,mort_rate,male,0.00015065000000,0.00015065000000,0.00014692000000,0.00014317000000,0.00013978000000,0.00013602000000,0.00013244000000,0.00012950000000,0.00012657000000,0.00012364000000,0.00012069000000,0.00011788000000,0.00011515000000,0.00011229000000,0.00010947000000,0.00010692000000,0.00010425000000,0.00010157000000,0.00009894000000,0.00009631000000,0.00009391000000,0.00009168000000,0.00008940000000,0.00008721000000,0.00008509000000,0.00008307000000,0.00008113000000,0.00007918000000,0.00007733000000,0.00007556000000,0.00007382000000,0.00007223000000,0.00007067000000,0.00006927000000,0.00006804000000,0.00006686000000,0.00006577000000,0.00006456000000,0.00006350000000,0.00006239000000,0.00006136000000,0.00006038000000,0.00005942000000,0.00005842000000,0.00005755000000,0.00005659000000,0.00005574000000,0.00005490000000,0.00005402000000,0.00005332000000,0.00005259000000,0.00005187000000,0.00005111000000,0.00005037000000,0.00004972000000,0.00004904000000,0.00004846000000,0.00004776000000,0.00004700000000,0.00004642000000,0.00004585000000,0.00004520000000,0.00004463000000,0.00004392000000,0.00004324000000,0.00004264000000,0.00004200000000,0.00004143000000,0.00004092000000,0.00004034000000,0.00003986000000,0.00003934000000,0.00003889000000,0.00003842000000,0.00003789000000,0.00003742000000,0.00003689000000,0.00003689000000,0.00003689000000,0.00003689000000,
6,mort_rate,male,0.00013337000000,0.00013337000000,0.00013018000000,0.00012696000000,0.00012405000000,0.00012082000000,0.00011775000000,0.00011520000000,0.00011264000000,0.00011009000000,0.00010751000000,0.00010506000000,0.00010267000000,0.00010017000000,0.00009771000000,0.00009548000000,0.00009315000000,0.00009080000000,0.00008850000000,0.00008620000000,0.00008409000000,0.00008213000000,0.00008012000000,0.00007818000000,0.00007632000000,0.00007453000000,0.00007281000000,0.00007109000000,0.00006945000000,0.00006788000000,0.00006634000000,0.00006492000000,0.00006354000000,0.00006229000000,0.00006120000000,0.00006015000000,0.00005918000000,0.00005810000000,0.00005715000000,0.00005616000000,0.00005524000000,0.00005437000000,0.00005351000000,0.00005261000000,0.00005183000000,0.00005097000000,0.00005021000000,0.00004945000000,0.00004866000000,0.00004803000000,0.00004738000000,0.00004673000000,0.00004605000000,0.00004539000000,0.00004480000000,0.00004419000000,0.00004367000000,0.00004303000000,0.00004236000000,0.00004183000000,0.00004132000000,0.00004073000000,0.00004022000000,0.00003958000000,0.00003897000000,0.00003842000000,0.00003784000000,0.00003732000000,0.00003686000000,0.00003634000000,0.00003591000000,0.00003544000000,0.00003503000000,0.00003460000000,0.00003412000000,0.00003370000000,0.00003322000000,0.00003322000000,0.00003322000000,0.00003322000000,
7,mort_rate,male,0.00012487000000,0.00012487000000,0.00012194000000,0.00011898000000,0.00011629000000,0.00011332000000,0.00011049000000,0.00010811000000,0.00010572000000,0.00010333000000,0.00010092000000,0.00009862000000,0.00009639000000,0.00009406000000,0.00009175000000,0.00008967000000,0.00008749000000,0.00008530000000,0.00008315000000,0.00008100000000,0.00007902000000,0.00007717000000,0.00007529000000,0.00007346000000,0.00007170000000,0.00007002000000,0.00006840000000,0.00006677000000,0.00006523000000,0.00006374000000,0.00006229000000,0.00006095000000,0.00005964000000,0.00005846000000,0.00005742000000,0.00005642000000,0.00005550000000,0.00005448000000,0.00005357000000,0.00005263000000,0.00005176000000,0.00005092000000,0.00005010000000,0.00004925000000,0.00004851000000,0.00004769000000,0.00004696000000,0.00004624000000,0.00004548000000,0.00004488000000,0.00004426000000,0.00004364000000,0.00004299000000,0.00004236000000,0.00004180000000,0.00004121000000,0.00004071000000,0.00004011000000,0.00003947000000,0.00003896000000,0.00003847000000,0.00003792000000,0.00003742000000,0.00003681000000,0.00003624000000,0.00003572000000,0.00003517000000,0.00003467000000,0.00003423000000,0.00003374000000,0.00003332000000,0.00003287000000,0.00003249000000,0.00003207000000,0.00003162000000,0.00003122000000,0.00003076000000,0.00003076000000,0.00003076000000,0.00003076000000,
8,mort_rate,male,0.00011938000000,0.00011938000000,0.00011663000000,0.00011384000000,0.00011130000000,0.00010851000000,0.00010584000000,0.00010356000000,0.00010127000000,0.00009898000000,0.00009667000000,0.00009447000000,0.00009233000000,0.00009010000000,0.00008790000000,0.00008590000000,0.00008381000000,0.00008172000000,0.00007966000000,0.00007761000000,0.00007571000000,0.00007393000000,0.00007212000000,0.00007036000000,0.00006867000000,0.00006705000000,0.00006549000000,0.00006392000000,0.00006243000000,0.00006100000000,0.00005960000000,0.00005830000000,0.00005704000000,0.00005590000000,0.00005489000000,0.00005392000000,0.00005301000000,0.00005203000000,0.00005115000000,0.00005023000000,0.00004939000000,0.00004858000000,0.00004778000000,0.00004695000000,0.00004622000000,0.00004543000000,0.00004472000000,0.00004402000000,0.00004329000000,0.00004270000000,0.00004209000000,0.00004148000000,0.00004085000000,0.00004024000000,0.00003969000000,0.00003912000000,0.00003863000000,0.00003805000000,0.00003743000000,0.00003693000000,0.00003645000000,0.00003591000000,0.00003543000000,0.00003485000000,0.00003429000000,0.00003378000000,0.00003325000000,0.00003277000000,0.00003234000000,0.00003186000000,0.00003145000000,0.00003102000000,0.00003064000000,0.00003024000000,0.00002980000000,0.00002941000000,0.00002897000000,0.00002897000000,0.00002897000000,0.00002897000000,
9,mort_rate,male,0.00011396000000,0.00011396000000,0.00011139000000,0.00010879000000,0.00010641000000,0.00010380000000,0.00010131000000,0.00009914000000,0.00009696000000,0.00009479000000,0.00009259000000,0.00009050000000,0.00008846000000,0.00008634000000,0.00008424000000,0.00008233000000,0.00008035000000,0.00007835000000,0.00007640000000,0.00007444000000,0.00007262000000,0.00007093000000,0.00006920000000,0.00006751000000,0.00006589000000,0.00006434000000,0.00006284000000,0.00006134000000,0.00005991000000,0.00005853000000,0.00005719000000,0.00005595000000,0.00005473000000,0.00005363000000,0.00005266000000,0.00005173000000,0.00005085000000,0.00004990000000,0.00004905000000,0.00004817000000,0.00004735000000,0.00004657000000,0.00004580000000,0.00004499000000,0.00004429000000,0.00004352000000,0.00004284000000,0.00004216000000,0.00004146000000,0.00004088000000,0.00004029000000,0.00003970000000,0.00003909000000,0.00003850000000,0.00003796000000,0.00003741000000,0.00003693000000,0.00003637000000,0.00003577000000,0.00003529000000,0.00003482000000,0.00003430000000,0.00003383000000,0.00003326000000,0.00003273000000,0.00003223000000,0.00003172000000,0.00003125000000,0.00003084000000,0.00003037000000,0.00002998000000,0.00002956000000,0.00002919000000,0.00002879000000,0.00002838000000,0.00002799000000,0.00002757000000,0.00002757000000,0.00002757000000,0.00002757000000,
